Census Tract,County,Total:,Total:!!White alone,Total:!!Black or African American alone,Total:!!American Indian and Alaska Native alone,Total:!!Asian alone,Total:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Some other race alone,Total:!!Two or more races:,Total:!!Two or more races:!!Two races including Some other race,"Total:!!Two or more races:!!Two races excluding Some other race, and three or more races"
4001,Alameda,"3,035","2,299",94,0,424,0,48,170,17,153
4002,Alameda,"1,983","1,402",44,6,219,0,34,278,17,261
4003,Alameda,"5,058","3,262",433,6,773,34,193,357,148,209
4004,Alameda,"4,179","2,877",300,36,418,0,201,347,93,254
4005,Alameda,"4,021","1,959","1,109",0,387,0,87,479,41,438
4006,Alameda,"1,812",868,511,7,188,11,46,181,0,181
4007,Alameda,"5,165","2,388","1,486",43,301,0,493,454,78,376
4008,Alameda,"4,001","2,026",857,19,661,4,66,368,164,204
4009,Alameda,"2,853","1,034",846,54,142,0,421,356,145,211
4010,Alameda,"6,057","2,274","1,665",35,490,95,675,823,116,707
4011,Alameda,"4,269","2,397",450,0,676,11,202,533,0,533
4012,Alameda,"2,654","1,789",319,2,265,17,120,142,23,119
4013,Alameda,"3,830","1,597",857,29,819,0,152,376,79,297
4014,Alameda,"4,895","1,630","1,518",41,602,11,570,523,30,493
4015,Alameda,"2,816",980,"1,228",11,116,19,214,248,93,155
4016,Alameda,"2,223",627,722,3,180,22,385,284,88,196
4017,Alameda,"3,210","1,365",563,0,524,29,366,363,130,233
4018,Alameda,"1,730",596,633,10,71,0,302,118,0,118
4022,Alameda,"2,387",795,821,39,412,0,121,199,67,132
4024,Alameda,"2,401",624,"1,337",16,263,0,20,141,17,124
4025,Alameda,"1,904",157,"1,165",0,303,0,150,129,83,46
4026,Alameda,"1,255",216,324,4,487,0,61,163,5,158
4027,Alameda,"1,927",680,689,10,259,0,213,76,28,48
4028.01,Alameda,"3,321","1,142","1,225",35,541,0,95,283,56,227
4028.02,Alameda,"1,337",375,585,0,240,0,65,72,0,72
4029,Alameda,"1,486",388,213,2,708,0,89,86,4,82
4030,Alameda,"2,850",245,110,33,"2,182",110,34,136,0,136
4031,Alameda,"2,077",767,432,0,604,14,123,137,50,87
4033.01,Alameda,"1,615",265,18,121,"1,085",0,68,58,0,58
4033.02,Alameda,"2,389","1,123",111,64,814,0,27,250,37,213
4034.01,Alameda,"2,940","1,373",600,14,639,13,151,150,28,122
4034.02,Alameda,"1,405",529,373,0,373,41,0,89,18,71
4035.01,Alameda,"4,454","1,828","1,108",39,985,65,42,387,26,361
4035.02,Alameda,"1,902","1,036",384,0,173,0,98,211,45,166
4036,Alameda,"5,582","1,866","2,075",81,610,0,279,671,182,489
4037.01,Alameda,"2,776","1,396",583,0,433,0,191,173,15,158
4037.02,Alameda,"1,883","1,056",332,0,273,0,124,98,36,62
4038,Alameda,"3,514","2,343",562,6,436,5,27,135,27,108
4039,Alameda,"4,122","2,629",404,21,596,0,68,404,269,135
4040,Alameda,"2,910","1,738",314,29,379,45,68,337,79,258
4041.01,Alameda,"2,988","2,138",223,12,299,0,111,205,26,179
4041.02,Alameda,"2,637","1,609",174,28,335,16,126,349,57,292
4042,Alameda,"3,826","2,564",295,7,597,39,75,249,39,210
4043,Alameda,"3,546","2,477",58,12,507,0,188,304,132,172
4044,Alameda,"5,755","3,733",119,46,813,0,58,986,118,868
4045.01,Alameda,"1,790","1,324",75,0,214,2,19,156,48,108
4045.02,Alameda,"5,893","4,375",236,9,768,0,135,370,113,257
4046,Alameda,"4,936","3,303",266,0,627,137,70,533,122,411
4047,Alameda,"2,099","1,588",100,0,263,8,54,86,0,86
4048,Alameda,"2,650","1,552",304,128,376,0,69,221,54,167
4049,Alameda,"4,253","2,660",350,33,601,60,181,368,147,221
4050,Alameda,"3,444","2,070",463,0,416,0,77,418,163,255
4051,Alameda,"4,285","2,623",520,0,568,0,63,511,139,372
4052,Alameda,"5,159","2,138",480,0,"2,028",20,196,297,115,182
4053.01,Alameda,"2,947","1,708",406,0,368,8,209,248,77,171
4053.02,Alameda,"2,287",831,361,0,893,0,87,115,4,111
4054.01,Alameda,"3,670",997,565,0,"1,184",0,712,212,10,202
4054.02,Alameda,"3,412",779,682,34,"1,076",71,671,99,0,99
4055,Alameda,"3,674","1,004",866,70,"1,308",34,229,163,0,163
4056,Alameda,"3,171",919,587,102,967,0,327,269,73,196
4057,Alameda,"3,308",647,"1,077",11,"1,152",0,221,200,27,173
4058,Alameda,"3,931",803,588,56,"1,833",0,317,334,80,254
4059.01,Alameda,"4,230",660,552,34,"1,508",43,"1,065",368,340,28
4059.02,Alameda,"3,129",470,322,28,"1,552",0,538,219,55,164
4060,Alameda,"3,890",959,723,6,"1,454",7,590,151,30,121
4061,Alameda,"4,721","1,543",444,283,792,27,"1,366",266,116,150
4062.01,Alameda,"4,954",354,925,69,"1,403",18,"2,090",95,5,90
4062.02,Alameda,"4,712","1,251",481,384,605,0,"1,671",320,183,137
4063,Alameda,"4,403",763,"1,078",18,950,0,"1,322",272,167,105
4064,Alameda,"2,548",937,421,14,445,33,486,212,69,143
4065,Alameda,"6,400","1,171",858,173,"1,365",244,"2,100",489,296,193
4066.01,Alameda,"4,726","1,050","1,138",90,999,0,"1,006",443,202,241
4066.02,Alameda,"2,417",457,544,19,780,4,474,139,22,117
4067,Alameda,"5,019","2,494",583,41,904,230,279,488,31,457
4068,Alameda,"3,668","1,285",664,12,907,6,486,308,85,223
4069,Alameda,"3,895","1,568",596,0,958,40,232,501,27,474
4070,Alameda,"5,780","1,364","1,090",53,"1,290",0,913,"1,070",328,742
4071.01,Alameda,"3,869",465,503,40,"1,253",0,"1,475",133,18,115
4071.02,Alameda,"4,603",570,819,46,"1,231",0,"1,596",341,48,293
4072,Alameda,"6,901","1,518",376,94,767,3,"3,649",494,316,178
4073,Alameda,"2,461",949,219,4,87,0,"1,129",73,12,61
4074,Alameda,"4,183",463,"1,334",17,349,12,"1,725",283,74,209
4075,Alameda,"4,242",560,"1,037",36,569,4,"1,737",299,201,98
4076,Alameda,"5,947","1,613","1,952",0,465,0,"1,133",784,31,753
4077,Alameda,"4,255","1,836","1,601",0,236,24,131,427,97,330
4078,Alameda,"2,734","1,090",726,5,430,3,243,237,72,165
4079,Alameda,"2,800","1,376",559,0,344,0,155,366,15,351
4080,Alameda,"2,827","1,746",305,32,331,0,195,218,108,110
4081,Alameda,"6,795","2,630","1,460",0,"1,862",0,320,523,148,375
4082,Alameda,"4,588","1,323","2,127",25,213,29,316,555,156,399
4083,Alameda,"4,954","1,292","1,919",18,674,110,546,395,11,384
4084,Alameda,"3,278",436,"1,521",0,141,6,905,269,140,129
4085,Alameda,"5,796",269,"2,519",2,169,82,"2,434",321,95,226
4086,Alameda,"7,159",723,"2,639",14,352,0,"2,829",602,75,527
4087,Alameda,"7,536",917,"2,922",29,404,0,"2,907",357,163,194
4088,Alameda,"6,622",691,"2,503",31,363,144,"2,171",719,671,48
4089,Alameda,"3,660",510,819,0,126,30,"2,017",158,57,101
4090,Alameda,"4,756",293,"1,456",55,252,0,"2,486",214,156,58
4091,Alameda,"2,477",619,646,203,117,4,800,88,38,50
4092,Alameda,"3,526",422,"1,069",0,195,0,"1,509",331,105,226
4093,Alameda,"5,153",674,"1,210",119,103,17,"2,698",332,202,130
4094,Alameda,"5,141","1,271",722,34,354,12,"2,381",367,135,232
4095,Alameda,"3,877","1,007",738,104,62,73,"1,795",98,59,39
4096,Alameda,"4,594",574,"1,515",13,106,39,"2,044",303,245,58
4097,Alameda,"5,226",761,"1,625",0,48,75,"1,840",877,177,700
4098,Alameda,"3,403",954,"1,793",76,254,0,79,247,23,224
4099,Alameda,"3,695","1,220","1,490",7,299,0,224,455,24,431
4100,Alameda,"3,358","1,124","1,526",6,84,22,113,483,133,350
4101,Alameda,"2,746",454,"1,518",0,126,26,305,317,45,272
4102,Alameda,"3,585",263,"2,242",29,189,114,643,105,0,105
4103,Alameda,"3,842",751,862,28,122,45,"1,702",332,231,101
4104,Alameda,"4,398",624,"1,438",133,383,28,"1,197",595,443,152
4105,Alameda,"2,547",653,"1,478",6,252,27,59,72,4,68
4201,Alameda,"2,528","1,617",32,12,448,0,46,373,108,265
4202,Alameda,"3,326","1,143",228,10,"1,395",0,111,439,57,382
4203.01,Alameda,"2,738","1,065",58,0,"1,397",0,76,142,89,53
4203.02,Alameda,"2,561",864,81,39,921,0,360,296,53,243
4204.01,Alameda,"1,180",501,11,0,293,9,147,219,53,166
4204.02,Alameda,"1,772",685,43,33,708,0,111,192,93,99
4205,Alameda,"2,518","1,303",128,19,620,0,75,373,118,255
4206,Alameda,"3,522","2,559",13,3,455,23,87,382,111,271
4211,Alameda,"2,146","1,853",41,0,182,9,5,56,5,51
4212,Alameda,"3,690","2,504",34,4,701,0,44,403,5,398
4213,Alameda,"4,070","3,204",58,6,388,4,73,337,0,337
4214,Alameda,"1,661","1,325",28,7,124,4,33,140,74,66
4215,Alameda,"3,820","3,102",123,0,395,11,110,79,0,79
4216,Alameda,"3,728","2,717",108,0,456,27,28,392,43,349
4217,Alameda,"3,734","2,751",24,40,717,0,101,101,0,101
4218,Alameda,"2,232","1,645",36,8,296,0,14,233,46,187
4219,Alameda,"4,312","2,635",487,5,721,0,94,370,38,332
4220,Alameda,"2,157","1,361",147,2,294,0,30,323,33,290
4221,Alameda,"3,280","1,781",394,66,416,0,341,282,115,167
4222,Alameda,"3,202","2,125",151,29,405,4,29,459,116,343
4223,Alameda,"3,608","2,204",160,5,725,7,46,461,161,300
4224,Alameda,"4,578","2,211",53,0,"1,891",0,213,210,0,210
4225,Alameda,"4,638","2,272",169,245,"1,523",34,71,324,82,242
4227,Alameda,"4,975","2,413",165,59,"1,664",12,269,393,105,288
4228,Alameda,"9,229","3,128",383,71,"4,328",69,567,683,106,577
4229.01,Alameda,"2,627","1,006",25,0,"1,371",106,60,59,0,59
4229.02,Alameda,"3,019","1,161",471,0,865,12,207,303,32,271
4230,Alameda,"4,932","2,989",319,15,"1,299",0,105,205,69,136
4231,Alameda,"4,317","2,108","1,125",22,592,41,36,393,55,338
4232,Alameda,"2,945","1,331",711,19,196,72,416,200,9,191
4233,Alameda,"3,521","1,797",890,61,177,0,91,505,164,341
4234,Alameda,"5,503","2,808",810,0,706,0,296,883,134,749
4235,Alameda,"3,484","1,940",585,11,434,6,86,422,103,319
4236.01,Alameda,"2,697","2,080",116,0,275,0,29,197,13,184
4236.02,Alameda,"6,439","3,508",54,27,"2,023",65,171,591,187,404
4237,Alameda,"4,148","3,005",100,18,674,20,84,247,23,224
4238,Alameda,"3,127","2,626",71,0,269,0,7,154,10,144
4239.01,Alameda,"2,160","1,407",237,17,197,0,79,223,64,159
4239.02,Alameda,"1,482","1,104",35,0,220,0,3,120,29,91
4240.01,Alameda,"3,976","2,026",758,18,489,0,481,204,80,124
4240.02,Alameda,"2,626",862,899,14,242,0,392,217,52,165
4251.01,Alameda,"1,588","1,026",59,11,355,0,53,84,6,78
4251.02,Alameda,"3,752","1,360",412,23,"1,630",32,164,131,6,125
4251.03,Alameda,"2,708","1,212",634,5,681,0,14,162,16,146
4251.04,Alameda,"3,631","1,470",874,0,837,13,140,297,64,233
4261,Alameda,"6,704","4,945",35,0,"1,480",0,0,244,0,244
4262,Alameda,"4,750","3,506",168,0,751,19,9,297,9,288
4271,Alameda,"4,251","2,689",45,5,832,7,405,268,109,159
4272,Alameda,"4,460","1,754",60,25,"1,965",0,275,381,23,358
4273,Alameda,"5,130","1,983",832,39,"1,734",71,171,300,45,255
4276,Alameda,"5,157","1,581",945,4,"2,019",0,439,169,21,148
4277,Alameda,"5,268","3,029",330,2,"1,157",0,346,404,138,266
4278,Alameda,"4,502","2,170",217,8,"1,024",0,243,840,154,686
4279,Alameda,"5,297","2,954",231,6,"1,403",0,341,362,29,333
4280,Alameda,"3,168","1,131",243,12,880,0,367,535,0,535
4281,Alameda,"4,841","2,736",304,0,"1,239",28,134,400,92,308
4282,Alameda,"6,782","3,921",291,0,"1,576",10,556,428,86,342
4283.01,Alameda,"7,538","2,384",345,19,"3,698",79,187,826,215,611
4283.02,Alameda,"7,802","3,716",131,0,"3,153",0,210,592,13,579
4284,Alameda,"4,561","1,928",617,107,"1,115",12,115,667,323,344
4285,Alameda,"3,063","1,511",172,41,847,0,205,287,53,234
4286,Alameda,"3,560","1,746",209,59,"1,108",0,106,332,28,304
4287,Alameda,"4,447","1,422",661,22,"1,655",77,246,364,13,351
4301.01,Alameda,"6,743","2,334",437,18,"3,266",89,49,550,0,550
4301.02,Alameda,"2,488","1,481",33,5,569,18,110,272,100,172
4302,Alameda,"7,115","4,130",210,90,"1,905",0,239,541,135,406
4303,Alameda,"3,947","2,310",26,7,"1,135",17,121,331,159,172
4304,Alameda,"2,108","1,216",35,3,609,0,59,186,22,164
4305,Alameda,"6,185","2,135","2,146",36,"1,410",0,341,117,18,99
4306,Alameda,"6,703","3,484",878,145,"1,868",0,50,278,17,261
4307,Alameda,"4,133","2,100",127,91,"1,250",0,83,482,180,302
4308,Alameda,"5,410","2,643",74,80,"1,824",52,82,655,314,341
4309,Alameda,"5,384","2,798",459,60,"1,048",29,197,793,438,355
4310,Alameda,"2,816","1,191",400,30,820,0,55,320,49,271
4311,Alameda,"3,447","1,777",634,7,456,41,348,184,38,146
4312,Alameda,"5,953","3,340",894,0,690,0,376,653,252,401
4321,Alameda,"3,584","1,571",748,0,597,90,302,276,127,149
4322,Alameda,"4,123","1,435",752,265,563,24,455,629,375,254
4323,Alameda,"4,764","1,726",560,10,"1,352",128,623,365,17,348
4324,Alameda,"6,983","3,167",438,57,"1,814",227,822,458,0,458
4325.01,Alameda,"4,850","1,677",283,17,"2,126",47,395,305,179,126
4325.02,Alameda,"5,221","1,251",639,3,"2,100",39,720,469,264,205
4326.01,Alameda,"3,957","1,449",643,24,984,39,673,145,0,145
4326.02,Alameda,"3,409",919,865,6,865,0,512,242,70,172
4327,Alameda,"2,839","1,927",125,20,486,12,149,120,65,55
4328,Alameda,"3,907","1,593",565,58,"1,196",28,154,313,190,123
4330,Alameda,"3,461","1,621",281,19,"1,054",8,234,244,100,144
